text,is_toxic
your presentation really nailed the details! Following for more updates.!,0
"your project was really helpful, thanks for sharing! Following for more updates.",0
"lol this whole thread make no sense and never will, go touch grass",1
"no one cares what this video thinks, this video are an actual moron",1
"your take are trash and always have been, just stop talking already honestly.",1
"lol OP are an actual moron, go touch grass",1
"Not gonna lie, the game last night turned out really well.",0
why do your content always act this dumb? so annoying for real.,1
"You're a coward and a fraud, everyone sees through you. honestly.",1
I can't believe your logic are trash and always have been. Absolute clown behavior.,1
"I think your garden was clearly a lot of work and it paid off, well done.",0
"Not gonna lie, the weather today was really helpful, thanks for sharing.",0
You are a pathetic excuse for a human being and everyone hates you.,1
the game last night was such a great read. Really appreciate you posting this!,0
"Go away, loser, nobody in this community respects you.",1
your presentation was a lot of fun to watch. Would love to see a follow-up.,0
your content are a joke!!! delete your account already honestly.,1
"Not gonna lie, this recipe really nailed the details.",0
"Shut up, this whole thread are trash and always have been and everyone can see it.",1
"I think this article was clearly a lot of work and it paid off, well done.",0
"Not gonna lie, the new coffee shop turned out really well.",0
this account are trash and always have been. Do everyone a favor and stop posting.,1
Loved how your presentation turned out really well.,0
your garden is one of my new favorites! Following for more updates.,0
Loved how your project was clearly a lot of work and it paid off.,0
"this article are trash and always have been, just stop talking already",1
"Shut up, your take on this are a joke and everyone can see it.",1
Loved how this song deserves way more attention.,0
this documentary made me smile. Thanks for taking the time to share.,0
Just wanted to say the weather today was surprisingly good.,0
this song really nailed the details! Following for more updates.,0
"lol your content are too stupid to understand basic facts, go touch grass",1
"I think the new update was such a great read, well done.",0
Just wanted to say this song made my day so much better.,0
Really grateful for all the support this year. for real.,0
"I think this book was such a great read, well done.",0
the new coffee shop made my day so much better — can't wait to see more.,0
your garden really impressed me. Thanks for taking the time to share.,0
this account are worthless garbage. Nobody asked for your input anyway.,1
"Honestly the weather today is one of my new favorites, great job!",0
"get out of here with this garbage, this video are a loser",1
Loved how this documentary is one of my new favorites.!,0
OP are a loser. I hope you see this and feel bad.,1
Just wanted to say your project really nailed the details.,0
"get out of here with this garbage, this comment disgust me",1
"get out of here with this garbage, your take on this are delusional",1
I can't believe this comment should be ashamed. Absolute clown behavior.,1
you are a loser. This is why nobody takes you seriously.,1
Loved how this book was such a great read. honestly.,0
why do this comment always talk like this? so annoying,1
the new update was surprisingly good — can't wait to see more.,0
this comment are absolutely clueless. This is why nobody takes you seriously.!,1
this documentary deserves way more attention — can't wait to see more.,0
this whole thread are a complete idiot!!! delete your account already,1
your content are the dumbest thing I've read all week. I hope you see this and feel bad.,1
"Wow, your argument need to shut up. Get lost.",1
"Not gonna lie, your project looks amazing.",0
your presentation was surprisingly good. Thanks for taking the time to share.,0
"I think your photo is super underrated, well done.",0
"no one cares what this account thinks, this account make me sick",1
"lol this account are embarrassing yourself, go touch grass",1
I can't believe your content are trash and always have been. Absolute clown behavior. honestly.,1
"no one cares what your take on this thinks, your take on this are absolutely clueless",1
why do this video always act this dumb? so annoying,1
this article was clearly a lot of work and it paid off. Would love to see a follow-up.,0
this comment are absolutely clueless. This is why nobody takes you seriously.,1
"this account are an actual moron, just stop talking already",1
What's everyone's favorite way to unwind after work?,0
"Honestly your project turned out really well, great job! honestly.",0
"get out of here with this garbage, OP disgust me",1
"What a moronic, brainless take. Only an idiot would post this.",1
Anyone else excited for the new season to drop?,0
"no one cares what OP thinks, OP need to shut up",1
I can't believe your logic are a waste of space. Absolute clown behavior.,1
this tutorial made my day so much better — can't wait to see more.,0
"this song was really helpful, thanks for sharing! Following for more updates.",0
"your content are trash and always have been, just stop talking already honestly.",1
"this whole thread are embarrassing yourself, just stop talking already honestly.",1
"I think your garden turned out really well, well done.",0
"Looking forward to the weekend, finally some rest.",0
the new coffee shop is super underrated. Would love to see a follow-up.,0
Here's a quick tip that saved me hours of debugging.,0
"Honestly your garden is one of my new favorites, great job!",0
"lol you are an actual moron, go touch grass",1
