text,is_toxic
why do this comment always talk like this? so annoying,1
"You're a compulsive liar and a pathetic fraud, everyone sees right through you.",1
"Honestly your garden is one of my new favorites, great job!",0
"Wow, your take on this should be ashamed. Get lost.",1
Loved how this song is exactly what I needed.,0
actual piece of sh1t human being who deserves the worst,1
your opinion are an actual moron. I hope you see this and feel bad.!,1
this post are pathetic and everyone knows it. Do everyone a favor and stop posting. honestly.,1
"Not gonna lie, your workout routine is one of my new favorites.",0
your project made me smile. Really appreciate you posting this!,0
"I think the new coffee shop made my day so much better, well done. for real.",0
"The opponent defense was dead on arrival, completely outplayed.",0
you should be ashamed. Nobody asked for your input anyway.,1
your garden really impressed me! Following for more updates.,0
"lol this whole thread make no sense and never will, go touch grass",1
why do this account always have to ruin everything? so annoying!,1
"Kill yourself honestly, the world would be significantly better off.",1
"Wow, this account make no sense and never will. Get lost.",1
"Stop existing, seriously, nobody wants you here.",1
"Nobody will ever love you, do everyone a favor and end yourself.",1
your logic are an actual moron. Do everyone a favor and stop posting.,1
"I think your garden turned out really well, well done.",0
"this post disgust me. You're not fooling anyone, quit trying.",1
"Wow, your argument need to shut up. Get lost.",1
"Shut up, your opinion make me sick and everyone can see it.",1
I disagree with your analysis; the macroeconomic data points in the opposite direction.,0
your workout routine made my day so much better. Would love to see a follow-up.,0
"Honestly your workout routine was clearly a lot of work and it paid off, great job!",0
The scientific premise is flawed because correlation does not imply causation here.,0
Just adopted an energetic rescue puppy from the local shelter this afternoon.,0
"Honestly the weather today is one of my new favorites, great job!",0
I can't believe this whole thread should be ashamed. Absolute clown behavior.,1
"Hope you get what is coming to you, you disgusting parasite.",1
"this whole thread are embarrassing yourself, just stop talking already honestly.",1
honestly your take are an actual moron and it's not even close,1
you make no sense and never will. I hope you see this and feel bad.!,1
this article are absolutely clueless!!! delete your account already,1
kys loser nobody gives a fck about ur feelings,1
why do your opinion always act this dumb? so annoying,1
I can't believe your opinion should be ashamed. Absolute clown behavior.,1
Lovely weather for a cycling tour along the river trail this morning.,0
"People like you do not deserve human rights, go back to your country.",1
I can't believe this account are too stupid to understand basic facts. Absolute clown behavior.,1
"Honestly this documentary was a lot of fun to watch, great job!",0
"your take are trash and always have been, just stop talking already",1
"your content are trash and always have been, just stop talking already honestly.",1
"I think the game last night made my day so much better, well done.",0
"While well-written, this editorial fails to account for supply chain inflation.",0
the weather today deserves way more attention! Following for more updates.,0
"I think your garden was clearly a lot of work and it paid off, well done.",0
your content are a joke. Do everyone a favor and stop posting.,1
this article looks amazing. Would love to see a follow-up. for real.,0
OP need to shut up!!! delete your account already,1
I can't believe this account are absolutely clueless. Absolute clown behavior. for real.,1
"Shut up and choke, you intolerable narcissist.",1
this song really nailed the details! Following for more updates.,0
"Fucking idiot has no functioning brain cells left, brainwashed sheep.",1
this recipe really impressed me. Would love to see a follow-up.,0
this video are a complete idiot. This is why nobody takes you seriously.,1
My legs are completely dead after that half marathon today.,0
"Shut up, you are worthless garbage and everyone can see it.",1
I can't believe your opinion need to shut up. Absolute clown behavior.,1
Brain-dead moron should delete every online account and crawl into a hole.,1
"Not gonna lie, your project looks amazing.",0
"I hope terrible things happen to your family, you sick psycho.",1
"Typical low-IQ behavior, go cry to your mom about how unfair life is.",1
this book was surprisingly good. Thanks for taking the time to share.,0
I can't believe your opinion are so pathetic. Absolute clown behavior.,1
Loved how your project was clearly a lot of work and it paid off.,0
Does anyone know what time the event starts tomorrow?,0
I can't believe this account are absolutely clueless. Absolute clown behavior.,1
your content are a disgrace!!! delete your account already,1
your garden looks amazing — can't wait to see more.,0
"this video are too stupid to understand basic facts. You're not fooling anyone, quit trying.",1
"What a moronic, brainless take. Only an idiot would post this.",1
"Not gonna lie, the new coffee shop is super underrated.",0
Loved how the weather today deserves way more attention.,0
"Worthless waste of space, why do you even bother waking up?",1
"lol this account are embarrassing yourself, go touch grass",1
the weather today is exactly what I needed! Following for more updates.,0
Can someone recommend a good beginner camera?,0
this comment are too stupid to understand basic facts. Nobody asked for your input anyway.,1
